User-Journey,age_group,language_preferred,Journey Number,Journey Start Date,Journey End Date,Events Combo,# of Touchpoints,Journey Duration,Conversion,Email,Facebook,House Ads,Instagram,Push
a100007211-1,24-30 years,English,1,2018-01-27,2018-01-27,Facebook,1,0,0,0,1,0,0,0
a100006513-1,19-24 years,English,1,2018-01-14,2018-01-14,House Ads,1,0,0,0,0,1,0,0
a100006322-1,55+ years,English,1,2018-01-13,2018-01-13,House Ads,1,0,0,0,0,1,0,0
a100002912-1,55+ years,English,1,2018-01-07,2018-01-07,House Ads,1,0,0,0,0,1,0,0
a100005818-1,55+ years,English,1,2018-01-17,2018-01-17,Push,1,0,0,0,0,0,0,1
a100002404-1,30-36 years,English,1,2018-01-15,2018-01-27,"Email, Facebook",2,12,0,1,1,0,0,0
a100005972-1,45-55 years,English,1,2018-01-14,2018-01-15,"Email, Instagram",2,1,0,1,0,0,1,0
a100007256-1,0-18 years,German,1,2018-01-15,2018-01-15,"Conversion, Email",1,0,1,1,0,0,0,0
a100003036-1,45-55 years,English,1,2018-01-25,2018-01-25,Facebook,1,0,0,0,1,0,0,0
a100001262-1,0-18 years,English,1,2018-01-19,2018-01-19,Instagram,1,0,0,0,0,0,1,0
a100005840-1,0-18 years,English,1,2018-01-21,2018-01-21,House Ads,1,0,0,0,0,1,0,0
a100006049-1,55+ years,English,1,2018-01-30,2018-01-30,House Ads,1,0,0,0,0,1,0,0
a100006487-1,30-36 years,English,1,2018-01-11,2018-01-11,House Ads,1,0,0,0,0,1,0,0
a100005495-1,45-55 years,English,1,2018-01-28,2018-01-28,House Ads,1,0,0,0,0,1,0,0
a100002618-1,19-24 years,English,1,2018-01-27,2018-01-27,House Ads,1,0,0,0,0,1,0,0
a100006820-1,0-18 years,English,1,2018-01-07,2018-01-07,Instagram,1,0,0,0,0,0,1,0
a100003480-1,36-45 years,Arabic,1,2018-01-26,2018-01-26,Instagram,1,0,0,0,0,0,1,0
a100005549-1,30-36 years,English,1,2018-01-04,2018-01-04,Instagram,1,0,0,0,0,0,1,0
a100004045-1,36-45 years,English,1,2018-01-20,2018-01-20,Push,1,0,0,0,0,0,0,1
a100002172-1,45-55 years,English,1,2018-01-15,2018-01-25,"Email, Facebook, House Ads",3,10,0,1,1,1,0,0
a100001264-1,24-30 years,English,1,2018-01-20,2018-01-23,"Facebook, House Ads",2,3,0,0,1,1,0,0
a100001387-1,0-18 years,English,1,2018-01-06,2018-01-06,Push,1,0,0,0,0,0,0,1
a100004440-1,0-18 years,English,1,2018-01-22,2018-01-22,House Ads,1,0,0,0,0,1,0,0
a100006449-1,0-18 years,English,1,2018-01-05,2018-01-05,Push,1,0,0,0,0,0,0,1
a100003469-1,24-30 years,English,1,2018-01-25,2018-01-25,House Ads,1,0,0,0,0,1,0,0
a100004537-1,55+ years,English,1,2018-01-12,2018-01-12,House Ads,1,0,0,0,0,1,0,0
a100004552-1,0-18 years,Spanish,1,2018-01-16,2018-01-16,House Ads,1,0,0,0,0,1,0,0
a100005901-1,36-45 years,English,1,2018-01-04,2018-01-15,"Email, Instagram",2,11,0,1,0,0,1,0
a100001798-1,30-36 years,English,1,2018-01-03,2018-01-19,"House Ads, Instagram",2,16,0,0,0,1,1,0
a100006531-1,45-55 years,English,1,2018-01-17,2018-01-17,Push,1,0,0,0,0,0,0,1
a100001308-1,0-18 years,English,1,2018-01-26,2018-01-27,"Conversion, Facebook",1,1,1,0,1,0,0,0
a100006427-1,55+ years,English,1,2018-01-02,2018-01-02,Push,1,0,0,0,0,0,0,1
a100000111-1,55+ years,English,1,2018-01-04,2018-01-05,"Conversion, House Ads",1,1,1,0,0,1,0,0
a100007142-1,30-36 years,German,1,2018-01-31,2018-01-31,House Ads,1,0,0,0,0,1,0,0
a100001049-1,0-18 years,English,1,2018-01-02,2018-01-13,"Conversion, House Ads",1,11,1,0,0,1,0,0
a100005400-1,19-24 years,English,1,2018-01-09,2018-01-09,House Ads,1,0,0,0,0,1,0,0
a100000738-1,36-45 years,English,1,2018-01-08,2018-01-17,"Conversion, Facebook, Instagram",2,9,1,0,1,0,1,0
a100003826-1,24-30 years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100002833-1,30-36 years,English,1,2018-01-27,2018-01-27,House Ads,1,0,0,0,0,1,0,0
a100005021-1,0-18 years,English,1,2018-01-06,2018-01-06,Instagram,1,0,0,0,0,0,1,0
a100004376-1,55+ years,English,1,2018-01-16,2018-01-16,House Ads,1,0,0,0,0,1,0,0
a100004345-1,30-36 years,German,1,2018-01-12,2018-01-12,House Ads,1,0,0,0,0,1,0,0
a100006176-1,0-18 years,English,1,2018-01-17,2018-01-17,Push,1,0,0,0,0,0,0,1
a100000216-1,45-55 years,English,1,2018-01-04,2018-01-13,"Facebook, House Ads",2,9,0,0,1,1,0,0
a100002184-1,45-55 years,English,1,2018-01-06,2018-01-06,House Ads,1,0,0,0,0,1,0,0
a100003032-1,19-24 years,English,1,2018-01-24,2018-01-24,House Ads,1,0,0,0,0,1,0,0
a100005174-1,55+ years,English,1,2018-01-02,2018-01-02,Facebook,1,0,0,0,1,0,0,0
a100004116-1,45-55 years,English,1,2018-01-04,2018-01-04,Facebook,1,0,0,0,1,0,0,0
a100003821-1,36-45 years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100003779-1,36-45 years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100006036-1,0-18 years,English,1,2018-01-28,2018-01-28,Instagram,1,0,0,0,0,0,1,0
a100000209-1,45-55 years,English,1,2018-01-03,2018-01-12,"Facebook, House Ads",2,9,0,0,1,1,0,0
a100000162-1,45-55 years,English,1,2018-01-06,2018-01-06,Conversion,0,0,1,0,0,0,0,0
a100000617-1,55+ years,English,1,2018-01-30,2018-01-30,"Conversion, Facebook",1,0,1,0,1,0,0,0
a100005635-1,45-55 years,English,1,2018-01-17,2018-01-17,Facebook,1,0,0,0,1,0,0,0
a100004286-1,0-18 years,English,1,2018-01-03,2018-01-22,"Facebook, Instagram",2,19,0,0,1,0,1,0
a100005835-1,24-30 years,English,1,2018-01-20,2018-01-20,Facebook,1,0,0,0,1,0,0,0
a100006077-1,55+ years,English,1,2018-01-03,2018-01-03,Instagram,1,0,0,0,0,0,1,0
a100005377-1,55+ years,English,1,2018-01-05,2018-01-05,House Ads,1,0,0,0,0,1,0,0
a100006479-1,24-30 years,English,1,2018-01-10,2018-01-10,Push,1,0,0,0,0,0,0,1
a100001429-1,0-18 years,English,1,2018-01-12,2018-01-12,Instagram,1,0,0,0,0,0,1,0
a100005327-1,45-55 years,English,1,2018-01-29,2018-01-29,House Ads,1,0,0,0,0,1,0,0
a100002009-1,36-45 years,English,1,2018-01-02,2018-01-02,House Ads,1,0,0,0,0,1,0,0
a100003350-1,55+ years,English,1,2018-01-08,2018-01-08,Instagram,1,0,0,0,0,0,1,0
a100000475-1,36-45 years,English,1,2018-01-23,2018-01-23,Instagram,1,0,0,0,0,0,1,0
a100004632-1,30-36 years,Spanish,1,2018-01-01,2018-01-01,House Ads,1,0,0,0,0,1,0,0
a100006383-1,36-45 years,English,1,2018-01-27,2018-01-27,House Ads,1,0,0,0,0,1,0,0
a100005952-1,55+ years,English,1,2018-01-11,2018-01-15,"Email, House Ads",2,4,0,1,0,1,0,0
a100004577-1,36-45 years,English,1,2018-01-19,2018-01-19,House Ads,1,0,0,0,0,1,0,0
a100004321-1,0-18 years,German,1,2018-01-01,2018-01-01,House Ads,1,0,0,0,0,1,0,0
a100006210-1,55+ years,English,1,2018-01-28,2018-01-28,Facebook,1,0,0,0,1,0,0,0
a100000539-1,0-18 years,English,1,2018-01-14,2018-01-14,"Conversion, Push",1,0,1,0,0,0,0,1
a100007134-1,24-30 years,German,1,2018-01-23,2018-01-23,House Ads,1,0,0,0,0,1,0,0
a100001700-1,19-24 years,English,1,2018-01-20,2018-01-20,Facebook,1,0,0,0,1,0,0,0
a100000413-1,0-18 years,English,1,2018-01-24,2018-01-24,"Conversion, House Ads",1,0,1,0,0,1,0,0
a100001551-1,24-30 years,English,1,2018-01-30,2018-01-30,Facebook,1,0,0,0,1,0,0,0
a100007228-1,45-55 years,Arabic,1,2018-01-14,2018-01-14,House Ads,1,0,0,0,0,1,0,0
a100003537-1,30-36 years,English,1,2018-01-03,2018-01-03,House Ads,1,0,0,0,0,1,0,0
a100007191-1,30-36 years,English,1,2018-01-07,2018-01-07,Instagram,1,0,0,0,0,0,1,0
a100002782-1,55+ years,English,1,2018-01-20,2018-01-20,House Ads,1,0,0,0,0,1,0,0
a100004259-1,19-24 years,English,1,2018-01-21,2018-01-30,"Facebook, Instagram",2,9,0,0,1,0,1,0
a100004351-1,24-30 years,English,1,2018-01-12,2018-01-12,House Ads,1,0,0,0,0,1,0,0
a100007223-1,0-18 years,English,1,2018-01-09,2018-01-09,Facebook,1,0,0,0,1,0,0,0
a100004008-1,24-30 years,Spanish,1,2018-01-15,2018-01-15,House Ads,1,0,0,0,0,1,0,0
a100003900-1,55+ years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100000943-1,45-55 years,English,1,2018-01-05,2018-01-05,Facebook,1,0,0,0,1,0,0,0
a100003072-1,30-36 years,English,1,2018-01-30,2018-01-30,House Ads,1,0,0,0,0,1,0,0
a100000597-1,0-18 years,English,1,2018-01-10,2018-01-10,"Conversion, Facebook",1,0,1,0,1,0,0,0
a100004408-1,30-36 years,English,1,2018-01-11,2018-01-11,House Ads,1,0,0,0,0,1,0,0
a100004491-1,24-30 years,English,1,2018-01-01,2018-01-07,"Facebook, House Ads",2,6,0,0,1,1,0,0
a100000691-1,36-45 years,English,1,2018-01-17,2018-01-17,Conversion,0,0,1,0,0,0,0,0
a100003426-1,55+ years,English,1,2018-01-19,2018-01-19,Facebook,1,0,0,0,1,0,0,0
a100001207-1,36-45 years,English,1,2018-01-12,2018-01-13,"Conversion, Email, Facebook",2,1,1,1,1,0,0,0
a100001265-1,30-36 years,English,1,2018-01-20,2018-01-20,House Ads,1,0,0,0,0,1,0,0
a100001975-1,0-18 years,English,1,2018-01-25,2018-01-28,"Facebook, House Ads",2,3,0,0,1,1,0,0
a100002903-1,55+ years,English,1,2018-01-06,2018-01-06,House Ads,1,0,0,0,0,1,0,0
a100004278-1,55+ years,English,1,2018-01-02,2018-01-14,"Facebook, Instagram",2,12,0,0,1,0,1,0
a100004213-1,36-45 years,English,1,2018-01-18,2018-01-30,"House Ads, Instagram",2,12,0,0,0,1,1,0
a100004791-1,19-24 years,English,1,2018-01-29,2018-01-29,House Ads,1,0,0,0,0,1,0,0
a100004826-1,19-24 years,English,1,2018-01-03,2018-01-03,Push,1,0,0,0,0,0,0,1
a100005142-1,24-30 years,English,1,2018-01-28,2018-01-28,Facebook,1,0,0,0,1,0,0,0
a100003027-1,55+ years,English,1,2018-01-24,2018-01-24,House Ads,1,0,0,0,0,1,0,0
a100002013-1,24-30 years,English,1,2018-01-03,2018-01-28,"House Ads, Instagram",2,25,0,0,0,1,1,0
a100000532-1,30-36 years,English,1,2018-01-07,2018-01-07,"Conversion, Facebook",1,0,1,0,1,0,0,0
a100005318-1,30-36 years,English,1,2018-01-28,2018-01-28,Facebook,1,0,0,0,1,0,0,0
a100005354-1,36-45 years,English,1,2018-01-02,2018-01-02,Push,1,0,0,0,0,0,0,1
a100006407-1,0-18 years,English,1,2018-01-30,2018-01-30,House Ads,1,0,0,0,0,1,0,0
a100005962-1,24-30 years,English,1,2018-01-12,2018-01-15,"Email, Push",2,3,0,1,0,0,0,1
a100006470-1,0-18 years,English,1,2018-01-08,2018-01-08,Facebook,1,0,0,0,1,0,0,0
a100006745-1,24-30 years,English,1,2018-01-27,2018-01-27,House Ads,1,0,0,0,0,1,0,0
a100007185-1,36-45 years,English,1,2018-01-01,2018-01-01,Instagram,1,0,0,0,0,0,1,0
a100001145-1,19-24 years,English,1,2018-01-02,2018-01-02,Conversion,0,0,1,0,0,0,0,0
a100004456-1,24-30 years,English,1,2018-01-02,2018-01-02,House Ads,1,0,0,0,0,1,0,0
a100005503-1,55+ years,English,1,2018-01-29,2018-01-29,House Ads,1,0,0,0,0,1,0,0
a100004689-1,36-45 years,English,1,2018-01-10,2018-01-10,House Ads,1,0,0,0,0,1,0,0
a100002241-1,24-30 years,English,1,2018-01-04,2018-01-04,House Ads,1,0,0,0,0,1,0,0
a100006989-1,19-24 years,English,1,2018-01-06,2018-01-06,Instagram,1,0,0,0,0,0,1,0
a100005712-1,45-55 years,English,1,2018-01-02,2018-01-02,House Ads,1,0,0,0,0,1,0,0
a100005946-1,0-18 years,English,1,2018-01-10,2018-01-15,"Email, Push",2,5,0,1,0,0,0,1
a100006609-1,55+ years,English,1,2018-01-02,2018-01-02,Push,1,0,0,0,0,0,0,1
a100000776-1,55+ years,Arabic,1,2018-01-15,2018-01-17,"Conversion, House Ads",1,2,1,0,0,1,0,0
a100004622-1,0-18 years,English,1,2018-01-13,2018-01-31,"Facebook, House Ads",2,18,0,0,1,1,0,0
a100006946-1,0-18 years,English,1,2018-01-30,2018-01-30,House Ads,1,0,0,0,0,1,0,0
a100002603-1,36-45 years,English,1,2018-01-25,2018-01-25,Push,1,0,0,0,0,0,0,1
a100000963-2,24-30 years,English,2,2018-01-08,2018-01-08,Push,1,0,0,0,0,0,0,1
a100002605-1,0-18 years,English,1,2018-01-25,2018-01-25,Instagram,1,0,0,0,0,0,1,0
a100002693-1,36-45 years,English,1,2018-01-07,2018-01-07,House Ads,1,0,0,0,0,1,0,0
a100004445-1,45-55 years,English,1,2018-01-27,2018-01-31,"House Ads, Instagram",2,4,0,0,0,1,1,0
a100006199-1,24-30 years,English,1,2018-01-21,2018-01-21,House Ads,1,0,0,0,0,1,0,0
a100001641-1,24-30 years,English,1,2018-01-12,2018-01-12,House Ads,1,0,0,0,0,1,0,0
a100003803-1,0-18 years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100003545-1,24-30 years,English,1,2018-01-04,2018-01-04,Instagram,1,0,0,0,0,0,1,0
a100001599-1,24-30 years,English,1,2018-01-05,2018-01-05,Facebook,1,0,0,0,1,0,0,0
a100000323-1,45-55 years,English,1,2018-01-16,2018-01-16,"Conversion, House Ads",1,0,1,0,0,1,0,0
a100002649-1,24-30 years,Spanish,1,2018-01-31,2018-01-31,House Ads,1,0,0,0,0,1,0,0
a100005202-1,55+ years,English,1,2018-01-06,2018-01-06,Push,1,0,0,0,0,0,0,1
a100005692-1,55+ years,English,1,2018-01-30,2018-01-30,"House Ads, Instagram",2,0,0,0,0,1,1,0
a100005019-1,45-55 years,English,1,2018-01-05,2018-01-05,Facebook,1,0,0,0,1,0,0,0
a100001598-1,19-24 years,English,1,2018-01-05,2018-01-05,Instagram,1,0,0,0,0,0,1,0
a100001868-1,19-24 years,English,1,2018-01-13,2018-01-18,"Facebook, House Ads",2,5,0,0,1,1,0,0
a100002767-1,24-30 years,English,1,2018-01-17,2018-01-17,House Ads,1,0,0,0,0,1,0,0
a100005714-1,0-18 years,English,1,2018-01-02,2018-01-02,Push,1,0,0,0,0,0,0,1
a100004100-1,30-36 years,Spanish,1,2018-01-02,2018-01-02,House Ads,1,0,0,0,0,1,0,0
a100006354-1,30-36 years,English,1,2018-01-17,2018-01-17,House Ads,1,0,0,0,0,1,0,0
a100006389-1,30-36 years,English,1,2018-01-28,2018-01-28,Facebook,1,0,0,0,1,0,0,0
a100000493-1,19-24 years,English,1,2018-01-26,2018-01-26,Push,1,0,0,0,0,0,0,1
a100002020-1,30-36 years,English,1,2018-01-04,2018-01-28,"Facebook, House Ads",2,24,0,0,1,1,0,0
a100006816-1,30-36 years,English,1,2018-01-06,2018-01-06,House Ads,1,0,0,0,0,1,0,0
a100006905-1,19-24 years,English,1,2018-01-19,2018-01-19,House Ads,1,0,0,0,0,1,0,0
a100001644-1,45-55 years,English,1,2018-01-12,2018-01-12,Facebook,1,0,0,0,1,0,0,0
a100000195-1,30-36 years,English,1,2018-01-01,2018-01-01,Facebook,1,0,0,0,1,0,0,0
a100000739-1,45-55 years,Arabic,1,2018-01-05,2018-01-16,"Conversion, House Ads",1,11,1,0,0,1,0,0
a100001224-1,24-30 years,English,1,2018-01-14,2018-01-16,"Conversion, House Ads",1,2,1,0,0,1,0,0
a100006519-1,0-18 years,English,1,2018-01-15,2018-01-15,Facebook,1,0,0,0,1,0,0,0
a100004091-1,19-24 years,English,1,2018-01-01,2018-01-01,Facebook,1,0,0,0,1,0,0,0
a100005374-1,30-36 years,English,1,2018-01-05,2018-01-05,Facebook,1,0,0,0,1,0,0,0
a100002298-1,45-55 years,Spanish,1,2018-01-12,2018-01-29,"Facebook, House Ads",2,17,0,0,1,1,0,0
a100005066-1,30-36 years,English,1,2018-01-12,2018-01-12,Push,1,0,0,0,0,0,0,1
a100000142-1,24-30 years,English,1,2018-01-04,2018-01-04,Facebook,1,0,0,0,1,0,0,0
a100000760-1,55+ years,English,1,2018-01-17,2018-01-17,"Conversion, Email",1,0,1,1,0,0,0,0
a100000337-1,0-18 years,English,1,2018-01-10,2018-01-30,"Conversion, House Ads, Instagram",2,20,1,0,0,1,1,0
a100003363-1,19-24 years,English,1,2018-01-10,2018-01-10,Instagram,1,0,0,0,0,0,1,0
a100003830-1,55+ years,English,1,2018-01-15,2018-01-15,Email,1,0,0,1,0,0,0,0
a100006472-1,24-30 years,English,1,2018-01-09,2018-01-09,House Ads,1,0,0,0,0,1,0,0
